number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
55,0.9188741721854304,2026-04-20 15:09:46.675900,2026-04-20 15:12:32.508259,0 days 00:02:45.832359,0.6207622237045896,4,102.12379787677514,85.12848902568614,108.39018296546432,155.2114714678501,0.8146359108270982,0.6764995093093366,52.400233970969644,31.35824231174887,COMPLETE
56,0.9197019867549668,2026-04-20 15:11:36.102138,2026-04-20 15:13:10.772858,0 days 00:01:34.670720,0.6209787276114266,4,102.19953819402298,85.34232089487062,108.37086455054063,176.7047922210401,0.8174991154348595,0.6711684324155784,52.7563159316895,31.25228920189026,COMPLETE
57,0.9205298013245033,2026-04-20 15:11:40.937782,2026-04-20 15:13:16.266583,0 days 00:01:35.328801,0.6210356205248823,4,102.22253835586739,85.05219726428734,109.58473872782245,158.49631194706774,0.816045462140997,0.6763975153062873,52.01730453842578,31.504977138917138,COMPLETE
58,0.9197019867549668,2026-04-20 15:11:44.597723,2026-04-20 15:13:21.588003,0 days 00:01:36.990280,0.6762374858170815,4,102.40799513079958,85.07724128203144,108.48904113407994,162.7105106001813,0.8161280343716257,0.6730527794186648,52.846522289106865,31.283587347693317,COMPLETE
59,0.9221854304635762,2026-04-20 15:11:46.112355,2026-04-20 15:13:24.809742,0 days 00:01:38.697387,0.5732223190658883,4,102.60390581280033,85.09227360916711,107.15521391136798,170.57751024042074,0.8150688119572661,0.6799528094490611,52.94414256306623,31.209290423090494,COMPLETE
60,0.9188741721854304,2026-04-20 15:11:50.157194,2026-04-20 15:13:44.690696,0 days 00:01:54.533502,0.5786199887151882,5,102.72002212927903,85.22814596429981,108.37553669534353,153.24249370929158,0.8476702809239637,0.683238227536958,46.55354742613855,31.48807504855606,COMPLETE
61,0.9097682119205298,2026-04-20 15:11:50.871947,2026-04-20 15:13:46.436420,0 days 00:01:55.564473,0.6756349278851916,5,102.84009936844726,85.26464933744717,110.33984168539294,186.12970999540013,0.8646204937476152,0.6788257342214593,53.388182116382886,31.48704349354405,COMPLETE
62,0.9163907284768212,2026-04-20 15:11:55.408538,2026-04-20 15:13:55.888757,0 days 00:02:00.480219,0.5819569812837957,5,102.74339356707435,89.25233468039984,90.53120075111032,179.94309992575646,0.8648239330467519,0.6833272802894962,53.55310190922234,31.69819342327519,COMPLETE
63,0.8981788079470199,2026-04-20 15:11:57.033015,2026-04-20 15:13:53.780111,0 days 00:01:56.747096,0.5795255426357901,5,102.54339112623454,89.31643971508382,114.38365212616573,197.92290316107415,0.8651982399462922,0.6811960606471866,53.61992377694405,32.802254862971594,COMPLETE
64,0.9163907284768212,2026-04-20 15:11:57.889142,2026-04-20 15:14:01.737335,0 days 00:02:03.848193,0.5803342088023552,5,102.8455180411553,89.18899843416185,90.27572089484757,184.61802346075112,0.8653240900485479,0.6868126995163619,53.939370502098775,32.642187019846965,COMPLETE
65,0.9130794701986755,2026-04-20 15:12:04.419422,2026-04-20 15:14:07.689963,0 days 00:02:03.270541,0.5773360513039243,5,102.65134941419245,85.27303148323895,90.53267484343814,178.54122745474936,0.8787910742816325,0.6800303722804473,53.601055737657994,32.83763906595817,COMPLETE
66,0.9114238410596026,2026-04-20 15:12:06.379002,2026-04-20 15:14:09.721571,0 days 00:02:03.342569,0.5829250952738632,5,102.91224320122936,89.22994763252237,90.69674061856752,293.8617118798737,0.8790731722302824,0.6882077441907615,53.77607732121833,32.73436558858334,COMPLETE
67,0.9048013245033113,2026-04-20 15:12:07.501508,2026-04-20 15:14:05.671065,0 days 00:01:58.169557,0.5799366334946349,5,102.84387238130437,89.3686242824589,112.11296896497497,254.23648713087363,0.8654289213730766,0.6835663927652057,53.84456335340749,32.76581297477404,COMPLETE
68,0.9147350993377483,2026-04-20 15:12:08.199308,2026-04-20 15:14:11.839588,0 days 00:02:03.640280,0.579845808524348,5,102.76218821603601,89.26252574230965,90.70588090317348,281.71346979019233,0.8652711513614105,0.6822835091109739,53.601248193759226,32.564349960848254,COMPLETE
69,0.8940397350993378,2026-04-20 15:12:23.619338,2026-04-20 15:13:45.898456,0 days 00:01:22.279118,0.5791286820048489,3,102.92267490017917,85.14735198442321,115.27213745597265,305.95615701370775,0.8162599641731443,0.6847384702022266,53.60678475904311,32.80567925490012,COMPLETE
70,0.902317880794702,2026-04-20 15:12:27.517097,2026-04-20 15:13:49.755866,0 days 00:01:22.238769,0.5709784322173186,3,102.92515805119254,85.00933264515082,114.50158536885047,268.10736179967796,0.792615088281979,0.6427712581685486,53.73852662416296,32.690170931178706,COMPLETE
71,0.9048013245033113,2026-04-20 15:12:32.518799,2026-04-20 15:14:32.734717,0 days 00:02:00.215918,0.5840749001934551,5,102.81124104281476,85.59772690076501,114.13043021483166,274.6582734462682,0.7883282962288201,0.6393023002964303,53.467227384571615,32.79723389012519,COMPLETE
72,0.8990066225165563,2026-04-20 15:13:10.778272,2026-04-20 15:15:17.607080,0 days 00:02:06.828808,0.5835746016976916,5,103.1085905990891,89.2854983729391,114.24791141578098,256.6755768877964,0.7899471058257173,0.645306647351934,53.65798591060145,32.86524802600326,COMPLETE
73,0.8981788079470199,2026-04-20 15:13:16.280277,2026-04-20 15:15:26.092843,0 days 00:02:09.812566,0.5769955088817248,5,103.08306579910955,89.40165615558873,113.36623763396855,268.00209960921393,0.7902370437217432,0.6863605072953602,53.70413685906103,32.38016587498032,COMPLETE
74,0.8973509933774835,2026-04-20 15:13:21.599586,2026-04-20 15:15:32.137461,0 days 00:02:10.537875,0.5753320334661258,5,103.02725672465007,88.89293132767483,113.90603510249635,269.00670661570877,0.7848166002935488,0.6425181166201439,53.802732483732306,32.78900393420197,COMPLETE
75,0.9048013245033113,2026-04-20 15:13:24.812744,2026-04-20 15:15:36.174686,0 days 00:02:11.361942,0.5808412186594396,5,102.76796095882193,85.62826876863811,113.81416372179727,290.54484931055174,0.7950745093280964,0.6882413276265087,53.676394529416655,32.78155376436469,COMPLETE
76,0.9072847682119205,2026-04-20 15:13:44.700014,2026-04-20 15:16:09.586194,0 days 00:02:24.886180,0.5699633965236564,5,103.01460992934096,85.81747013630329,113.07359722171195,254.24944762916329,0.7928232343988677,0.6381092838172069,54.00096400186256,32.75716253055301,COMPLETE
77,0.9105960264900662,2026-04-20 15:13:45.909037,2026-04-20 15:16:11.180504,0 days 00:02:25.271467,0.5649271259053389,5,103.2128241758955,85.78356846547854,111.82351334314401,254.6048488081959,0.7899846126240452,0.6410291947343913,54.06676780380435,32.43442239422737,COMPLETE
78,0.8899006622516556,2026-04-20 15:13:46.452523,2026-04-20 15:15:28.717930,0 days 00:01:42.265407,0.5614357197086248,3,101.00510435680695,85.74513871611592,119.68172633798238,247.92507883154212,0.7959151513429011,0.641187992197195,54.15928481275001,32.382551499666555,COMPLETE
79,0.9163907284768212,2026-04-20 15:13:49.784228,2026-04-20 15:16:18.599110,0 days 00:02:28.814882,0.550135569434764,5,101.24961293996088,85.79567454866068,112.74213240681556,223.12820086721223,0.808794346530189,0.637057515823923,54.20069009814964,34.07404555698235,COMPLETE
80,0.9205298013245033,2026-04-20 15:13:53.809691,2026-04-20 15:15:39.378520,0 days 00:01:45.568829,0.5518974542280201,3,101.03641141125848,85.81551905327666,104.38435028334142,231.15405546882204,0.8063927699858429,0.6373029489409797,54.020245673922176,33.628882363115636,COMPLETE
81,0.9056291390728477,2026-04-20 15:13:55.896781,2026-04-20 15:15:40.988990,0 days 00:01:45.092209,0.5504225749568584,3,103.62515732129411,85.9205692158267,117.94896976336153,225.0315775988688,0.809280463910911,0.5973748976138786,51.28882764670838,34.09912851984255,COMPLETE
82,0.9114238410596026,2026-04-20 15:14:01.747871,2026-04-20 15:15:48.137150,0 days 00:01:46.389279,0.554478722419523,3,103.40277435641897,85.84162918061615,105.48449478320236,263.62260418914695,0.7944733207555386,0.6940955418053049,51.19044187487817,33.52636648953473,COMPLETE
83,0.8741721854304636,2026-04-20 15:14:05.683628,2026-04-20 15:15:54.954149,0 days 00:01:49.270521,0.5509499382694054,3,101.08853570259659,85.94071499700503,118.03151253718787,338.0072290272918,0.8074847576660006,0.6944113638269616,51.36409856412498,33.5937441875232,COMPLETE
84,0.8733443708609272,2026-04-20 15:14:07.698493,2026-04-20 15:15:57.357404,0 days 00:01:49.658911,0.5654728681742421,3,101.2014637962645,85.76861336480745,118.63555127432647,230.64161419452984,0.8088247655724837,0.695048776364895,51.59347553412415,33.628395339683145,COMPLETE
85,0.8981788079470199,2026-04-20 15:14:09.740794,2026-04-20 15:15:59.134344,0 days 00:01:49.393550,0.5632896274621992,3,100.96339986574344,85.81718331509927,117.91447744858246,235.87628490826518,0.8102261633538287,0.6370018464934684,51.12045165810013,32.10232270815379,COMPLETE
86,0.8700331125827815,2026-04-20 15:14:11.851657,2026-04-20 15:16:04.791881,0 days 00:01:52.940224,0.5653251737910092,3,101.23212558979834,87.36498988354187,118.87841742991498,226.21925535509735,0.8348157173371172,0.6970942291245654,51.127716963912995,33.50127725283194,COMPLETE
87,0.9163907284768212,2026-04-20 15:14:32.744756,2026-04-20 15:16:41.553032,0 days 00:02:08.808276,0.5579561935888706,3,101.07943228326616,85.81232825614053,105.46012512542548,228.60058329412425,0.8090363668067642,0.7002660228281525,51.11678353758222,33.37718662269657,COMPLETE
88,0.8360927152317881,2026-04-20 15:15:17.628511,2026-04-20 15:17:32.305735,0 days 00:02:14.677224,0.5559456381115401,3,101.23620749295264,90.84083089395158,119.18776391809823,223.91962503856854,0.8091753012194607,0.7067065844489774,51.28817506133016,33.62872887955068,COMPLETE
89,0.9064569536423841,2026-04-20 15:15:26.098380,2026-04-20 15:17:35.404188,0 days 00:02:09.305808,0.7694767580142807,3,100.93615851306767,87.41612966115825,105.57046125099939,219.22553783073508,0.8368486587455274,0.6958748091689648,51.13679774064804,30.792429343506836,COMPLETE
90,0.8981788079470199,2026-04-20 15:15:28.738436,2026-04-20 15:17:37.639023,0 days 00:02:08.900587,0.7786567284487709,3,100.95189901022542,90.84615572984121,105.16158085699264,92.45699760034663,0.8100251492764347,0.6948960516274653,51.105957088068386,33.436329471627516,COMPLETE
91,0.8468543046357616,2026-04-20 15:15:32.149438,2026-04-20 15:17:40.214008,0 days 00:02:08.064570,0.5508245572767063,3,103.7674131990578,90.97988318493634,117.0940190238373,218.72618924773604,0.8089501993432993,0.70741911336781,51.25889876492223,30.7163025179439,COMPLETE
92,0.9238410596026491,2026-04-20 15:15:36.191996,2026-04-20 15:17:50.664133,0 days 00:02:14.472137,0.7143702229672989,3,103.94110125581798,87.51671420900544,96.21821253676762,345.5590862384821,0.8205013031973184,0.6968494938026529,51.15592236343056,33.56431908480365,COMPLETE
93,0.9130794701986755,2026-04-20 15:15:39.398659,2026-04-20 15:17:48.557910,0 days 00:02:09.159251,0.7938446010945603,3,103.56264986075739,90.7410940063322,97.03789003146719,93.17713791402926,0.8108766820143285,0.6988372004761536,51.3812852661605,30.7517323501847,COMPLETE
94,0.9197019867549668,2026-04-20 15:15:40.999108,2026-04-20 15:18:05.665161,0 days 00:02:24.666053,0.6497532543378238,4,104.99821238465462,89.92152372132108,96.96880112398885,93.45093508110034,0.8363720112906364,0.7022235586607595,51.4550397582006,30.841944376107552,COMPLETE
95,0.9205298013245033,2026-04-20 15:15:48.149189,2026-04-20 15:18:09.389199,0 days 00:02:21.240010,0.711307588597114,4,103.88458392739219,87.42782580714267,96.95612938997023,84.06712248022797,0.8369455447017482,0.6246295539917517,51.659779375290356,30.79953407305257,COMPLETE
